sutta,character,id,is_physically_present,mentioned_by_name,has_speaking_role,has_teaching_role,type,aliases
mn55,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn55,Jīvaka,jīvaka,TRUE,TRUE,TRUE,FALSE,,
mn56,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn56,Nātaputta,nigaṇṭha-nāṭaputta,TRUE,TRUE,TRUE,FALSE,,
mn56,Rattapāṇi,rattapāṇi,FALSE,TRUE,TRUE,FALSE,,
mn56,Tapassī,dīghatapassī,TRUE,TRUE,TRUE,FALSE,,
mn56,Upāli,Upāli3,TRUE,TRUE,TRUE,TRUE,,
mn57,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn57,Puṇṇa Koliyaputta,Puṇṇa2,TRUE,TRUE,TRUE,FALSE,,
mn57,Seniya,seniya,TRUE,TRUE,TRUE,FALSE,,
mn58,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn58,Devadatta,devadatta,FALSE,TRUE,FALSE,FALSE,,
mn58,Nātaputta,nigaṇṭha-nāṭaputta,TRUE,TRUE,TRUE,FALSE,,
mn58,Prince Abhaya,Abhaya2,TRUE,TRUE,TRUE,FALSE,,
mn59,Ānanda,ānanda,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn59,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn59,Pañcakaṅga,pañcakaṅga,TRUE,TRUE,TRUE,FALSE,,
mn59,Udāyī,Udāyī1,TRUE,TRUE,TRUE,FALSE,,
mn60,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn61,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn61,Rāhula,rāhula,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn62,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn62,Rāhula,rāhula,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn62,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn63,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn63,Māluṅkya,māluṅkyāputta,TRUE,TRUE,TRUE,FALSE,,
mn64,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn64,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn64,Māluṅkya,māluṅkyāputta,TRUE,TRUE,TRUE,FALSE,,
mn65,Bhaddāli,bhaddāli,TRUE,TRUE,TRUE,FALSE,,
mn65,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn66,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn66,Udāyī,Udāyī1,TRUE,TRUE,TRUE,FALSE,,
mn67,Ānanda,ānanda,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn67,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
